
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
20320         0x4F60          VxWorks symbol table, little endian, first entry: [type: function, code address: 0xA99A823E, symbol address: 0x6F59A27],,,,,,,,,
88944         0x15B70         Intel x86 or x64 microcode, sig 0x16c80200, pf_mask 0xb9006968, 0000-01-00, size 3102736385
140349        0x2243D         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
147702        0x240F6         Intel x86 or x64 microcode, sig 0x680e5016, pf_mask 0xe80ef000, 8D56-FA-46, rev 0x08c8, size 1299510795
189944        0x2E5F8         LZMA compressed data, properties: 0x64, dictionary size: 0 bytes, uncompressed size: 0 bytes
191730        0x2ECF2         LBR archive data
191756        0x2ED0C         LBR archive data
191809        0x2ED41         LBR archive data
191873        0x2ED81         LBR archive data
191937        0x2EDC1         LBR archive data
192002        0x2EE02         LBR archive data
192067        0x2EE43         LBR archive data
221862        0x362A6         LZMA compressed data, properties: 0x65, dictionary size: 0 bytes, uncompressed size: 0 bytes
227021        0x376CD         MySQL MISAM compressed data file Version 115
227214        0x3778E         MySQL MISAM compressed data file Version 115
310074        0x4BB3A         LZMA compressed data, properties: 0x90, dictionary size: 0 bytes, uncompressed size: 0 bytes
321616        0x4E850         Intel x86 or x64 microcode, sig 0x57560000, pf_mask 0xe5016e8, 0000-18-C8, rev 0x20001, size 1150943252
350866        0x55A92         Intel x86 or x64 microcode, sig 0x16fa468d, pf_mask 0x1449a, 8B00-08-56, rev 0x6c800, size 1976699674
416539        0x65B1B         MPEG transport stream data
416596        0x65B54         MPEG transport stream data
484286        0x763BE         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x01, 05EC-00-00, rev 0x5ec0000, size 1359
484298        0x763CA         Intel x86 or x64 microcode, sig 0x00000001, pf_mask 0x20001, 0589-00-00, rev 0x5890000, size 393221
484310        0x763D6         Intel x86 or x64 microcode, sig 0x00020001, pf_mask 0x80007, 054F-00-00, rev 0x54f0000, size 786443
484544        0x764C0         MPEG transport stream data
534564        0x82824         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1677742921, compressed size: 1196310860, uncompressed checksum: 0x5245, compressed checksum: 0x5345, flags: 0x5F, uncompressed checksum is valid, memory map table address: 0x2D2D2564
591914        0x9082A         MPEG transport stream data
591921        0x90831         MPEG transport stream data
609512        0x94CE8         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197425731, uncompressed checksum: 0x2020, compressed checksum: 0x2020, flags: 0x30, memory map table address: 0xA002053
609559        0x94D17         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197425731, uncompressed checksum: 0x2020, compressed checksum: 0x2020, flags: 0x31, memory map table address: 0xA002053
609606        0x94D46         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197428815, uncompressed checksum: 0x4541, compressed checksum: 0x4B30, flags: 0x53, uncompressed checksum is valid, memory map table address: 0xA002053
609653        0x94D75         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197428293, uncompressed checksum: 0x4541, compressed checksum: 0x4B30, flags: 0x47, uncompressed checksum is valid, memory map table address: 0xA002053
609700        0x94DA4         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197428815, uncompressed checksum: 0x4541, compressed checksum: 0x4B31, flags: 0x53, uncompressed checksum is valid, memory map table address: 0xA002053
609747        0x94DD3         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1397052233, compressed size: 1197428293, uncompressed checksum: 0x4541, compressed checksum: 0x4B31, flags: 0x47, uncompressed checksum is valid, memory map table address: 0xA002053
611537        0x954D1         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1163875145, compressed size: 1196447570, uncompressed checksum: 0x2020, compressed checksum: 0x2020, flags: 0x20, memory map table address: 0x49465F4E
640288        0x9C520         Intel x86 or x64 microcode, sig 0x00ff0200, pf_mask 0x60000, 0000-00-00, size 16711680
641946        0x9CB9A         Intel x86 or x64 microcode, sig 0x00ff0001, pf_mask 0x28010028, 0000-00-01, size 34220034
642020        0x9CBE4         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
642164        0x9CC74         Intel x86 or x64 microcode, sig 0x5541000f, pf_mask 0x325f44, 0000-00-00, size 16711680
642217        0x9CCA9         Intel x86 or x64 microcode, sig 0xc0008500, pf_mask 0x00, 1500-45-00, rev 0xc000000, size 2048
642232        0x9CCB8         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
642258        0x9CCD2         Intel x86 or x64 microcode, sig 0x000601fe, pf_mask 0x20200000, 0201-08-00, rev 0x-1f9ff01, size 8224
642320        0x9CD10         Intel x86 or x64 microcode, pf_mask 0x00, 002F-00-00, rev 0x2000000, size 32
642408        0x9CD68         LZMA compressed data, properties: 0x63, dictionary size: 0 bytes, uncompressed size: 0 bytes
642482        0x9CDB2         Intel x86 or x64 microcode, sig 0x001f1381, pf_mask 0xf5f4f3f2, 1010-00-00, rev 0x1390, size 4261215226
642668        0x9CE6C         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
642735        0x9CEAF         Intel x86 or x64 microcode, pf_mask 0x01, 0000-00-00, size 402653184
642759        0x9CEC7         Intel x86 or x64 microcode, sig 0x01000100, pf_mask 0x2000000, 0000-18-00, rev 0x0100, size 33554432
642764        0x9CECC         Intel x86 or x64 microcode, sig 0x00010001, pf_mask 0x30001, 0001-00-01, rev 0x180000, size 196609
642778        0x9CEDA         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x00, 0002-00-01, size 218235394
642822        0x9CF06         Intel x86 or x64 microcode, sig 0x00ff00ff, pf_mask 0xffff, FFFF-FF-FF, rev 0x-001, size 2048
643336        0x9D108         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
643390        0x9D13E         Intel x86 or x64 microcode, sig 0x00010001, pf_mask 0x00, 0000-00-00, size 65792
643404        0x9D14C         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x00, 0C4E-00-00, rev 0x7f170000, size 2048
643424        0x9D160         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
645266        0x9D892         Intel x86 or x64 microcode, pf_mask 0x00, 0001-00-01, size 2048
645276        0x9D89C         Intel x86 or x64 microcode, pf_mask 0x70000, 03E8-00-00, size 2048
645314        0x9D8C2         VxWorks symbol table, big endian, first entry: [type: function, code address: 0x0, symbol address: 0x0],,,,,,,,,
645477        0x9D965         Intel x86 or x64 microcode, sig 0x03000300, pf_mask 0x00, 3A00-00-42, rev 0x423200, size 2048
645498        0x9D97A         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-01, size 12064
645508        0x9D984         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 65537
645542        0x9D9A6         Intel x86 or x64 microcode, pf_mask 0x800000, 0000-00-00, rev 0x0001, size 8388608
645546        0x9D9AA         Intel x86 or x64 microcode, pf_mask 0x800000, 0000-00-00, size 2048
645672        0x9DA28         Intel x86 or x64 microcode, sig 0x00400000, pf_mask 0x01, 0002-00-20, rev 0x0002, size 524296
645696        0x9DA40         Intel x86 or x64 microcode, sig 0x00080008, pf_mask 0x00, 0008-00-08, rev 0x80008, size 9830400
645738        0x9DA6A         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, rev 0x0001, size 2048
645742        0x9DA6E         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
645828        0x9DAC4         Intel x86 or x64 microcode, sig 0x04000000, pf_mask 0x10000, 0000-00-00, size 2816
646074        0x9DBBA         LZMA compressed data, properties: 0x64, dictionary size: 0 bytes, uncompressed size: 0 bytes
646123        0x9DBEB         Intel x86 or x64 microcode, sig 0x01000000, pf_mask 0x00, 0000-00-00, size 285216769
646188        0x9DC2C         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-02, rev 0x10000, size 2048
646194        0x9DC32         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, rev 0x0002, size 2048
648150        0x9E3D6         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
649498        0x9E91A         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
650516        0x9ED14         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650564        0x9ED44         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650612        0x9ED74         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650660        0x9EDA4         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650708        0x9EDD4         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650756        0x9EE04         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650804        0x9EE34         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650852        0x9EE64         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650900        0x9EE94         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650948        0x9EEC4         Intel x86 or x64 microcode, sig 0x0001007f, pf_mask 0x20000, 0203-00-01, size 2048
650996        0x9EEF4         Intel x86 or x64 microcode, sig 0x0000007f, pf_mask 0x40000, 0103-00-01, size 2048
651044        0x9EF24         Intel x86 or x64 microcode, sig 0x0000007f, pf_mask 0x40000, 0103-00-01, size 2048
651092        0x9EF54         Intel x86 or x64 microcode, sig 0x0000007f, pf_mask 0x40000, 0103-00-01, size 2048
651140        0x9EF84         Intel x86 or x64 microcode, sig 0x0000007f, pf_mask 0x40000, 0103-00-01, size 2048
651188        0x9EFB4         Intel x86 or x64 microcode, sig 0x0000007f, pf_mask 0x40000, 0103-00-01, size 2048
651396        0x9F084         Intel x86 or x64 microcode, pf_mask 0x89f018e8, 0000-00-00, size 2048
651424        0x9F0A0         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
651494        0x9F0E6         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
660127        0xA129F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 16777642
660162        0xA12C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
660215        0xA12F7         Intel x86 or x64 microcode, sig 0x01e0888f, pf_mask 0x31920004, 0400-07-04, size 73209
660232        0xA1308         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1010e00, 9200-04-31, rev 0x4000400, size 327680
660294        0xA1346         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1010e01, 8600-02-31, rev 0x2000200, size 184877056
660383        0xA139F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 23593600
660418        0xA13C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
660471        0xA13F7         Intel x86 or x64 microcode, sig 0x01e0888f, pf_mask 0x31920004, 0400-07-04, size 73209
660488        0xA1408         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1012c00, 9200-04-31, rev 0x4000400, size 327680
660550        0xA1446         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1012c01, 8600-02-31, rev 0x2000200, size 184877056
660639        0xA149F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 26215040
660674        0xA14C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
